,Core_Only,Alpha_Always_Only,Core90_Alpha10,Core85_Alpha15,Core80_Alpha20,Core90_AlphaRegime10,Core85_AlphaRegime15,SPY,QQQ,VT,TOPIX
2022-11-11,-0.04013085974790076,0.0,-0.011942732672131084,-0.010788799688078443,-0.009879184478292169,-0.013361154226230743,-0.012410943001625374,-0.1536844557779864,0.0,-0.05382113990015769,-0.10993727921187268
2022-11-14,-0.031727828019823434,0.0,-0.004113556952906272,-0.0033612720107143446,-0.0028559962450522836,-0.0055786510840661885,-0.005048796349199414,-0.1555713970045528,-0.009636521680230103,-0.04424210751504254,-0.09826491277327387
2022-11-15,-0.03562865186179487,-0.0022678498671468983,-0.007950273764265936,-0.0071131432688886775,-0.006521981362584417,-0.009229307659784025,-0.008523546885464195,-0.1757577767458739,-0.011688987232983394,-0.048688849967058245,-0.10709576359955564
2022-11-16,-0.022693115618997783,-0.002397971748610561,0.0,0.0,0.0,0.0,0.0,-0.1824463490824484,-0.006504322622842507,-0.03394299102015397,-0.09842804949603479
2022-11-17,-0.02942464211237772,-0.0023822837978352274,-0.0061974770271415736,-0.0058522991000523605,-0.0055071211729631475,-0.006198735079978701,-0.005854186179308218,-0.19138303001357437,-0.004959902707126207,-0.04161659173570231,-0.09126887099689462
2022-11-18,-0.015666086131106538,-0.001729369761928501,0.0,0.0,0.0,0.0,0.0,-0.18805738467503819,0.0,-0.025932531793782188,-0.09284073305976515
2022-11-21,-0.005747960678367026,-0.0011997775703317393,0.0,0.0,0.0,0.0,0.0,-0.18879982776305115,-0.00426071897564384,-0.014626368972334713,-0.10789769044200537
2022-11-22,-0.010350079310787352,-0.00012730579246089668,-0.004058475917109505,-0.003773351696653493,-0.003488227476197703,-0.004144376721197052,-0.00390220290278509,-0.19730179375595203,0.0,-0.019872552117496167,-0.10695962436674178
2022-11-23,0.0,-0.0012699565827370973,0.0,0.0,0.0,0.0,0.0,-0.19553195119568678,-0.013011192709337815,-0.002804637469798088,-0.12904347294301677
2022-11-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19588734208107628,0.0,0.0,-0.13430276093639282
2022-11-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21974225593825547,-0.013817300251623088,0.0,-0.13152021097106625
2022-11-28,-0.01013162005072421,-0.0016459437059860305,-0.009283052416250381,-0.008858768599013689,-0.008434484781776663,-0.009151376919771637,-0.008661255354295405,-0.209006814608506,0.0,-0.01160553887868998,-0.12215607396894201
2022-11-29,-0.0015892082328873292,-0.0016504893452659042,-0.0015887421595353057,-0.0015890586382419913,-0.0015897414605365867,-0.0014556831003793569,-0.001389555052128011,-0.1990567935668055,-0.001219328256301555,-0.0018204016574613346,-0.12349901450663259
2022-11-30,-0.0006806211311987109,-0.004617981085524248,-0.001067780914032479,-0.0012619106366031918,-0.0014564066288151878,-0.0006972067634077872,-0.0007061495985225541,-0.2010446957065929,-0.027246622240510887,-0.000779635927940503,-0.12961798365524924
2022-12-01,0.0,-0.008534359617691112,-0.0007996077294263326,-0.0012269953581252047,-0.0016546585249918033,-0.00011438969390631382,-0.00019940251237060558,-0.19736009629919082,-0.01093006936321772,0.0,-0.13652411088020633
2022-12-02,0.0,-0.00823897718602229,0.0,-0.000339975997408426,-0.0008026782394785492,0.0,0.0,-0.20019102863851357,-0.009546483549597418,0.0,-0.1411138543365399
2022-12-05,-9.730723881373748e-05,-0.012411718867359478,-0.0005083171556058419,-0.001053555429024966,-0.0017212673880403484,-0.00017172464306680624,-0.00020893334519356266,-0.21515241865497559,-0.014517226149814988,-0.00011144626341885733,-0.13440600779282919
2022-12-06,-0.008902966025539638,-0.014767614784487848,-0.008668581607993331,-0.008888655994654049,-0.00923063287959236,-0.00814392961836008,-0.007764457903777999,-0.19420914692009972,-0.006492286284633941,-0.01019659286388841,-0.13050979733846224
2022-12-07,-0.024264164004491495,-0.0187759493088403,-0.022900244072548093,-0.02255070068707643,-0.022321700660219768,-0.02206030145024329,-0.020957580031597867,-0.1866256945040391,0.0,-0.027789817553686702,-0.13048737641924713
