,Baseline,Residual_20,Residual_30,VCP_10,VCP_20,Residual_20_VCP_10,Residual_30_VCP_10,Residual_20_VCP_20
2022-02-28,0.022274102260629647,0.022274102260629647,0.022274102260629647,0.022274102260629647,0.022274102260629647,0.022274102260629647,0.022274102260629647,0.022274102260629647
2022-03-31,-0.0082218360519003,-0.0082218360519003,-0.0082218360519003,-0.0082218360519003,-0.0082218360519003,-0.0082218360519003,-0.0082218360519003,-0.0082218360519003
2022-04-30,0.013412015278709388,0.013412015278709388,0.006555449647628553,0.013412015278709388,0.013412015278709388,0.006555449647628553,0.006208337391302221,0.006208337391302221
2022-05-31,0.02808615989442309,0.02808615989442309,0.027313578903141122,0.02808615989442309,0.02808615989442309,0.027313578903141122,0.03358888605689092,0.03358888605689092
2022-06-30,0.01003642630367052,0.01003642630367052,0.014554985212883231,0.01003642630367052,0.01003642630367052,0.014554985212883231,0.006210146378035963,0.006210146378035963
2022-07-31,0.009061556224887912,0.009061556224887912,0.009061556224887912,0.009061556224887912,0.009061556224887912,0.009061556224887912,0.009061556224887912,0.009061556224887912
2022-08-31,0.03013036259029911,0.03013036259029911,0.03013036259029911,0.03013036259029911,0.03013036259029911,0.03013036259029911,0.03013036259029911,0.03013036259029911
2022-09-30,0.010381341629970287,0.010381341629970287,0.010381341629970287,0.010381341629970287,0.010381341629970287,0.010381341629970287,0.010381341629970287,0.010381341629970287
2022-10-31,0.03980034469801663,0.03980034469801663,0.03980034469801663,0.03980034469801663,0.03980034469801663,0.03980034469801663,0.03980034469801663,0.03980034469801663
2022-11-30,0.02428279580597792,0.02428279580597792,0.02428279580597792,0.02428279580597792,0.02428279580597792,0.02428279580597792,0.02428279580597792,0.02428279580597792
2022-12-31,0.016027939929775803,0.016027939929775803,0.016027939929775803,0.016027939929775803,0.016027939929775803,0.016027939929775803,0.016027939929775803,0.016027939929775803
2023-01-31,0.010225574308382557,0.010225574308382557,0.010225574308382557,0.010225574308382557,0.010225574308382557,0.010225574308382557,0.010225574308382557,0.010225574308382557
2023-02-28,0.007943152494700456,0.007943152494700456,0.007943152494700456,0.007943152494700456,0.007943152494700456,0.007943152494700456,0.007943152494700456,0.007943152494700456
2023-03-31,0.01117472232184702,0.01117472232184702,0.01117472232184702,0.01117472232184702,0.01117472232184702,0.01117472232184702,0.01117472232184702,0.01117472232184702
2023-04-30,0.02981595731008224,0.02981595731008224,0.02981595731008224,0.02981595731008224,0.02981595731008224,0.02981595731008224,0.02981595731008224,0.02981595731008224
2023-05-31,0.044422997742554315,0.044422997742554315,0.044422997742554315,0.044422997742554315,0.044422997742554315,0.044422997742554315,0.044422997742554315,0.044422997742554315
2023-06-30,0.020681484292709662,0.020681484292709662,0.020681484292709662,0.020681484292709662,0.020681484292709662,0.020681484292709662,0.020681484292709662,0.020681484292709662
2023-07-31,-0.011562158066319994,-0.011562158066319994,-0.011562158066319994,-0.011562158066319994,-0.011562158066319994,-0.011562158066319994,-0.011562158066319994,-0.011562158066319994
2023-08-31,-0.006446166973451017,-0.006446166973451017,-0.006446166973451017,-0.006446166973451017,-0.006446166973451017,-0.006446166973451017,-0.006446166973451017,-0.006446166973451017
2023-09-30,0.025317349803963607,0.025317349803963607,0.025317349803963607,0.025317349803963607,0.025317349803963607,0.025317349803963607,0.025317349803963607,0.025317349803963607
2023-10-31,-0.013181644212333699,-0.013181644212333699,-0.013181644212333699,-0.013181644212333699,-0.013181644212333699,-0.013181644212333699,-0.013181644212333699,-0.013181644212333699
2023-11-30,-0.008421800355706832,-0.008421800355706832,-0.008421800355706832,-0.008421800355706832,-0.008421800355706832,-0.008421800355706832,-0.008421800355706832,-0.008421800355706832
2023-12-31,-0.013960110982490392,-0.013960110982490392,-0.013960110982490392,-0.013960110982490392,-0.013960110982490392,-0.013960110982490392,-0.013960110982490392,-0.013960110982490392
2024-01-31,0.004731487631981501,0.00077274898241253,0.00077274898241253,0.004731487631981501,0.004731487631981501,0.00077274898241253,0.00077274898241253,0.00077274898241253
2024-02-29,0.003600873928321091,0.004409777780725932,0.004409777780725932,0.003600873928321091,0.003600873928321091,0.004409777780725932,0.004409777780725932,0.004409777780725932
2024-03-31,-0.02225736642412479,-0.011313796882563731,-0.011313796882563731,-0.02225736642412479,-0.02225736642412479,-0.011313796882563731,-0.011313796882563731,-0.011313796882563731
2024-04-30,0.005154036561754394,0.005154036561754394,0.005154036561754394,0.005154036561754394,0.005154036561754394,0.005154036561754394,0.005154036561754394,0.005154036561754394
